285.643, 309.214
369.111, 243.667
309.588, 170.118
373.000, 103.500
382.500, 88.500
347.000, 81.000
285.643, 322.214
366.500, 251.000
309.733, 172.667
372.500, 105.000
382.412, 89.882
346.500, 81.000
286.000, 336.000
364.267, 258.333
310.500, 176.000
371.412, 106.118
381.500, 91.000
346.500, 81.000
287.000, 351.000
361.389, 266.722
310.500, 179.500
370.500, 108.000
380.500, 93.500
346.267, 81.333
289.000, 367.308
357.750, 275.500
310.500, 183.500
368.714, 110.500
379.500, 95.500
345.500, 81.500
291.500, 385.000
354.500, 286.500
311.500, 188.500
367.500, 113.000
377.611, 98.278
345.412, 81.882
294.500, 402.500
350.500, 297.500
312.500, 193.500
365.500, 115.000
376.389, 100.722
344.842, 81.158
298.000, 420.500
346.412, 309.882
315.500, 200.000
364.000, 117.000
373.500, 103.000
344.500, 81.000
301.588, 438.118
342.150, 322.700
321.500, 208.000
361.385, 118.615
370.588, 105.118
343.588, 80.882
305.500, 455.500
337.000, 336.500
331.412, 217.882
356.357, 121.214
366.500, 109.500
342.412, 81.118
309.588, 471.118
331.500, 349.500
343.588, 228.882
351.000, 129.000
360.500, 117.500
337.000, 88.000
313.917, 483.833
326.412, 361.882
351.500, 241.000
353.000, 139.500
360.588, 126.882
334.500, 99.500
317.500, 493.000
322.500, 372.000
352.500, 251.000
357.500, 150.000
364.000, 139.000
343.500, 109.000
319.412, 500.882
323.875, 381.667
350.611, 259.722
361.000, 160.200
369.500, 150.000
350.000, 118.000
321.412, 507.882
325.125, 389.333
348.158, 267.158
363.385, 168.385
372.500, 159.000
353.500, 126.500
323.500, 515.500
325.120, 395.200
348.000, 274.000
363.000, 175.200
372.000, 166.000
352.158, 133.842
325.333, 521.000
323.875, 399.667
349.500, 280.000
362.000, 181.000
369.333, 170.000
347.125, 140.333
327.412, 525.882
323.000, 405.000
350.409, 285.227
361.000, 186.000
368.500, 174.500
344.500, 146.500
328.500, 530.500
322.500, 409.500
350.429, 289.381
361.500, 189.000
369.000, 178.000
345.000, 149.864
329.500, 533.500
322.571, 412.619
350.000, 291.864
362.889, 192.333
370.500, 180.500
347.500, 152.500
329.778, 534.778
324.217, 415.391
349.500, 293.000
364.000, 193.800
371.700, 182.000
350.500, 154.500
330.474, 535.842
325.429, 416.381
349.500, 294.000
364.500, 194.500
372.500, 182.500
352.000, 155.864
331.350, 536.450
326.000, 415.370
349.792, 293.833
365.000, 194.000
372.611, 181.722
352.571, 155.619
331.778, 535.778
326.741, 414.148
349.500, 293.000
366.000, 193.000
373.500, 180.500
352.500, 155.000
333.000, 534.250
326.778, 413.000
349.500, 290.000
366.909, 190.636
374.500, 177.500
352.792, 152.250
334.500, 531.500
327.125, 410.333
348.500, 287.000
367.500, 187.000
375.500, 174.000
352.500, 148.500
335.929, 528.143
327.692, 406.038
347.727, 282.500
368.000, 183.000
376.250, 169.500
352.000, 145.000
337.389, 523.722
328.000, 401.500
347.500, 277.500
368.000, 179.000
376.500, 164.500
350.333, 141.000
338.500, 518.000
328.875, 395.667
346.571, 271.619
369.000, 173.200
377.412, 158.118
349.588, 135.882
340.389, 511.722
329.652, 389.391
345.571, 265.381
370.500, 166.500
378.412, 150.882
349.500, 130.500
342.412, 503.118
330.500, 381.500
344.412, 256.882
372.000, 159.000
379.158, 142.842
349.158, 124.158
343.588, 494.118
330.897, 373.172
342.500, 248.500
372.000, 151.500
380.250, 135.500
350.500, 115.500
344.917, 483.833
331.500, 363.500
341.500, 238.500
372.357, 142.214
380.500, 127.500
352.500, 105.000
346.412, 472.882
332.429, 353.381
339.429, 228.381
372.000, 132.200
380.611, 118.278
353.667, 94.000
347.389, 460.722
333.217, 341.304
338.409, 216.227
370.000, 120.000
379.733, 107.667
355.500, 79.500
348.000, 447.500
335.000, 329.500
337.500, 204.500
378.091, 112.364
387.500, 97.000
358.500, 75.000
347.500, 433.500
337.429, 316.381
330.412, 192.118
383.733, 106.333
392.611, 88.278
360.125, 73.333
346.588, 420.118
340.783, 303.696
330.267, 182.333
386.500, 100.000
395.412, 81.882
360.500, 72.500
347.412, 409.882
343.125, 294.667
332.500, 175.500
389.500, 95.000
397.357, 78.214
362.000, 74.500
348.500, 406.500
345.783, 291.696
334.000, 175.864
388.500, 97.500
396.611, 79.722
361.875, 75.667
